Label	Weight	Text
l_BasicBotLuisApplication	2.307692	i need a machine with a 512gb hard disk
l_BasicBotLuisApplication	2.307692	i'm bailing
l_BasicBotLuisApplication	2.307692	i am looking for a grey surface book 2 with 256 gb disk
l_BasicBotLuisApplication	2.307692	please cancel
l_BasicBotLuisApplication	2.307692	cancel
l_BasicBotLuisApplication	2.307692	i want a surface go in grey with 64gb storage
l_BasicBotLuisApplication	2.307692	help please
l_BasicBotLuisApplication	2.307692	how do i interact with you
l_BasicBotLuisApplication	2.307692	confused
l_BasicBotLuisApplication	2.307692	i want a surface pro 6
l_BasicBotLuisApplication	2.307692	no way, i won't give you my location
l_BasicBotLuisApplication	2.307692	i want 32gb disk
l_BasicBotLuisApplication	2.307692	abort
l_BasicBotLuisApplication	2.307692	what can you do
l_BasicBotLuisApplication	2.307692	what can you help me with
l_BasicBotLuisApplication	2.307692	no way
l_BasicBotLuisApplication	2.307692	i don't understand
l_BasicBotLuisApplication	2.307692	why doesn't this work
l_BasicBotLuisApplication	2.307692	i'n looking for a surface studio
l_BasicBotLuisApplication	2.307692	stop
l_BasicBotLuisApplication	2.307692	i will not give you my name
l_BasicBotLuisApplication	2.307692	i'm not going to tell you where i live
l_BasicBotLuisApplication	2.307692	can you help me
l_BasicBotLuisApplication	2.307692	don't do that
l_BasicBotLuisApplication	2.307692	i'm looking for an i5 laptop in black
l_BasicBotLuisApplication	2.307692	i'm looking for 256 storage
l_BasicBotLuisApplication	2.307692	what can i say
l_BasicBotLuisApplication	2.307692	what do i do now
l_BasicBotLuisApplication	2.307692	ineed a surface book with 512 disk and 16gb memory
l_BasicBotLuisApplication	2.307692	i'm stuck
l_BasicBotLuisApplication	2.307692	i will not give you my location or name
l_BasicBotLuisApplication	2.307692	i want a machine with 512gb storage
l_BasicBotLuisApplication	2.307692	lost
l_BasicBotLuisApplication	2.307692	i need 62gb
l_BasicBotLuisApplication	2.307692	i won't give you my name
l_BasicBotLuisApplication	2.307692	help me
l_BasicBotLuisApplication	2.307692	i'm looking for a surface
l_BasicBotLuisApplication	2.307692	i want a device with lte connectivity and 8gb ram
l_BasicBotLuisApplication	2.307692	i need a surface laptop 2 in black with 16gb ram
None	1.956522	you can call me steve
None	1.956522	i'm lili
None	1.956522	world wide pants
None	1.956522	melanie
None	1.956522	good morning
None	1.956522	dan
None	1.956522	getting tired of you
None	1.956522	hello
None	1.956522	how are you
None	1.956522	i live in london
None	1.956522	yo
None	1.956522	dhaka
None	1.956522	i'm lauren, and i'm from madrid
None	1.956522	who am i speaking with
None	1.956522	mumbai
None	1.956522	i reside in san francisco
None	1.956522	hello bot
None	1.956522	vishwac is my name
None	1.956522	my name is maria and i'm from sydney
None	1.956522	portland
None	1.956522	cook me something
None	1.956522	hey there
None	1.956522	how old are you
None	1.956522	who is your boss
None	1.956522	are you busy
None	1.956522	i am tired of you
None	1.956522	can you fly
None	1.956522	are you old
None	1.956522	i'd rather be riding my bike
None	1.956522	dont you ever sleep
None	1.956522	spaghetti
None	1.956522	tony is my name
None	1.956522	hey
None	1.956522	her cat has no teeth
None	1.956522	hiya
None	1.956522	do you play games
None	1.956522	hi
None	1.956522	have you any dreams
None	1.956522	good evening
None	1.956522	what's your name
None	1.956522	hi bot
None	1.956522	i'm from georgia
None	1.956522	my name is tom
None	1.956522	shangai
None	1.956522	call me scott
None	1.956522	seattle is my current city
q_MicrosoftStoreFAQ	1	Is Surface Go a tablet or laptop
q_MicrosoftStoreFAQ	1	Does Surface Go need antivirus
q_MicrosoftStoreFAQ	1	Does Surface Book 2 need a screen protector
q_MicrosoftStoreFAQ	1	Does Surface Laptop 2 have a camera
q_MicrosoftStoreFAQ	1	Can Microsoft Surface Go run Photoshop
q_MicrosoftStoreFAQ	1	Can you code or programming on Surface Book 2
q_MicrosoftStoreFAQ	1	Will Surface Go run Office
q_MicrosoftStoreFAQ	1	Does Surface Laptop 2 need a screen protector
q_MicrosoftStoreFAQ	1	Is Microsoft Office free on Surface Go
q_MicrosoftStoreFAQ	1	How long does the Surface Book 2 last
q_MicrosoftStoreFAQ	1	What size is Surface Go’s display
q_MicrosoftStoreFAQ	1	How much does a Surface Book 2 cost
q_MicrosoftStoreFAQ	1	How much does a Surface Go cost
q_MicrosoftStoreFAQ	1	Can you download apps on Surface Laptop 2
q_MicrosoftStoreFAQ	1	Can the Surface Book 2 run games
q_MicrosoftStoreFAQ	1	What size is Surface Laptop 2’s display
q_MicrosoftStoreFAQ	1	Does Surface Laptop run Windows 10
q_MicrosoftStoreFAQ	1	Does Surface Book 2 need antivirus
q_MicrosoftStoreFAQ	1	Can you download apps on Surface Go
q_MicrosoftStoreFAQ	1	What is the company that makes Surface Go
q_MicrosoftStoreFAQ	1	What is the default Surface Laptop 2 display scaling
q_MicrosoftStoreFAQ	1	How do I reset my Surface Go
q_MicrosoftStoreFAQ	1	How long does the Surface Go last
q_MicrosoftStoreFAQ	1	Is Surface Go 64-bit
q_MicrosoftStoreFAQ	1	Is Surface Book 2 a tablet or a laptop
q_MicrosoftStoreFAQ	1	What is the resolution of Surface Go
q_MicrosoftStoreFAQ	1	What are the dimensions of the Surface Laptop 2
q_MicrosoftStoreFAQ	1	Is Microsoft Office free on Surface Book 2
q_MicrosoftStoreFAQ	1	Is Surface Laptop 2 64-bit
q_MicrosoftStoreFAQ	1	Does Surface Go need a screen protector
q_MicrosoftStoreFAQ	1	What is the aspect ratio of Surface Laptop 2
q_MicrosoftStoreFAQ	1	How much does a Surface Laptop 2 cost
q_MicrosoftStoreFAQ	1	Can Microsoft Surface Laptop 2 run Photoshop
q_MicrosoftStoreFAQ	1	Can you code or programming on Surface Laptop 2
q_MicrosoftStoreFAQ	1	Can I charge my Surface Book 2’s tablet section alone
q_MicrosoftStoreFAQ	1	Can I charge my Surface Book 2 base alone
q_MicrosoftStoreFAQ	1	What is the company that makes Surface Book 2
q_MicrosoftStoreFAQ	1	What is the battery capacity of Microsoft Surface Laptop
q_MicrosoftStoreFAQ	1	Does Surface Laptop 2 include pen
q_MicrosoftStoreFAQ	1	Can the Surface Laptop 2 run games
q_MicrosoftStoreFAQ	1	Can you play Fortnite on Surface Go
q_MicrosoftStoreFAQ	1	Is Surface Laptop 2 good for drawing
q_MicrosoftStoreFAQ	1	What is the battery capacity of Microsoft Surface Go
q_MicrosoftStoreFAQ	1	How to turn off S-Mode on Surface Go
q_MicrosoftStoreFAQ	1	Is Surface Book 2 64-bit
q_MicrosoftStoreFAQ	1	How do I charge my Surface Book 2
q_MicrosoftStoreFAQ	1	Is Surface Laptop 2 a tablet or a laptop
q_MicrosoftStoreFAQ	1	What are the dimensions of the Surface Go
q_MicrosoftStoreFAQ	1	How long does the Surface Laptop 2 last
q_MicrosoftStoreFAQ	1	Does Surface Book 2 have a camera
q_MicrosoftStoreFAQ	1	Does Surface Book 2 include pen
q_MicrosoftStoreFAQ	1	What processor is in the Surface Laptop 2
q_MicrosoftStoreFAQ	1	Is the Surface Book 2 fanless
q_MicrosoftStoreFAQ	1	What is Windows 10 in S Mode
q_MicrosoftStoreFAQ	1	How do I reset my Surface Book 2
q_MicrosoftStoreFAQ	1	Does Surface Go include pen
q_MicrosoftStoreFAQ	1	Is Surface Book 2 good for drawing
q_MicrosoftStoreFAQ	1	What is the aspect ratio of Surface Book 2
q_MicrosoftStoreFAQ	1	Can you download apps on Surface Book 2
q_MicrosoftStoreFAQ	1	Does Surface Go run Windows 10
q_MicrosoftStoreFAQ	1	Will Surface Dock work with Surface Book 2
q_MicrosoftStoreFAQ	1	Does Surface Laptop 2 need antivirus
q_MicrosoftStoreFAQ	1	What is the company that makes Surface Laptop 2
q_MicrosoftStoreFAQ	1	Is Microsoft Office free on Surface Laptop 2
q_MicrosoftStoreFAQ	1	How much does the Surface Book 2 weight
q_MicrosoftStoreFAQ	1	Can you upgrade RAM on Surface Go
q_MicrosoftStoreFAQ	1	Can I charge Surface Go with USB-C
q_MicrosoftStoreFAQ	1	Can I charge Surface Laptop 2 via USB
q_MicrosoftStoreFAQ	1	Is the Surface Laptop 2 fanless
q_MicrosoftStoreFAQ	1	Can you upgrade RAM on Surface Laptop 2
q_MicrosoftStoreFAQ	1	How do I charge my Surface Laptop 2
q_MicrosoftStoreFAQ	1	Does a screen protector reduce the responsiveness of Surface Go
q_MicrosoftStoreFAQ	1	Does Surface Go run full Windows
q_MicrosoftStoreFAQ	1	What is the battery capacity of Microsoft Surface Book 2
q_MicrosoftStoreFAQ	1	Does Surface Laptop 2 run full Windows
q_MicrosoftStoreFAQ	1	Does the new Surface Book 2 come with a keyboard
q_MicrosoftStoreFAQ	1	Does Surface Book 2 run Windows 10
q_MicrosoftStoreFAQ	1	Will Surface Book 2 run Office
q_MicrosoftStoreFAQ	1	What ports are on the Surface Go
q_MicrosoftStoreFAQ	1	Does Surface Go come with a keyboard
q_MicrosoftStoreFAQ	1	How do I charge my Surface Go
q_MicrosoftStoreFAQ	1	What size is Surface Book 2’s display
q_MicrosoftStoreFAQ	1	What ports are on the Surface Laptop 2
q_MicrosoftStoreFAQ	1	How do I reset my Surface Laptop 2
q_MicrosoftStoreFAQ	1	How much does the Surface Go weight
q_MicrosoftStoreFAQ	1	What is the difference between Surface Go and Surface 3
q_MicrosoftStoreFAQ	1	Does Surface Book 2 run full Windows
q_MicrosoftStoreFAQ	1	What processor is in the Surface Go
q_MicrosoftStoreFAQ	1	Can you code or programming on Surface Go
q_MicrosoftStoreFAQ	1	What is the default Surface Book 2 display scaling
